"ReleaseId","Path","Class","Buggy","CodeSmells","NSmells","Touches","TotalTouches","IssueTouches","TotalIssueTouches","Authors","TotalAuthors","AddedLines","DeletedLines","Churn","TotalChurn","prevBuggy","AgeInReleases"
"release-1.3.1","/lang/java/src/java/org/apache/avro/Schema.java/","org.apache.avro.Schema.Field","yes","2","4","0","7","0","7","0","3","0","0","0","292","yes","2"
"release-1.3.1","/lang/java/src/java/org/apache/avro/Schema.java/","org.apache.avro.Schema.EnumSchema","yes","7","8","0","7","0","7","0","3","0","0","0","292","yes","2"
"release-1.3.1","/lang/java/src/java/org/apache/avro/generic/GenericDatumReader.java/","org.apache.avro.generic.GenericDatumReader","yes","0","2","0","5","0","5","0","3","0","0","0","275","yes","2"
"release-1.3.1","/lang/java/src/java/org/apache/avro/file/DataFileReader.java/","org.apache.avro.file.DataFileReader.SeekableInputStream","yes","0","1","0","3","0","3","0","1","0","0","0","126","yes","2"
"release-1.3.1","/lang/java/src/java/org/apache/avro/Schema.java/","org.apache.avro.Schema.StringSchema","yes","0","0","0","7","0","7","0","3","0","0","0","292","yes","2"
"release-1.3.1","/lang/java/src/java/org/apache/avro/io/parsing/ResolvingGrammarGenerator.java/","org.apache.avro.io.parsing.ResolvingGrammarGenerator.LitS2","yes","2","3","0","10","0","10","0","2","0","0","0","202","yes","2"
"release-1.3.1","/lang/java/src/java/org/apache/avro/Schema.java/","org.apache.avro.Schema","yes","75","78","0","7","0","7","0","3","0","0","0","292","yes","2"
"release-1.3.1","/lang/java/src/java/org/apache/avro/specific/SpecificRequestor.java/","org.apache.avro.specific.SpecificRequestor","yes","0","1","0","3","0","3","0","2","0","0","0","12","yes","2"
"release-1.3.1","/lang/java/src/java/org/apache/avro/file/DataFileWriter.java/","org.apache.avro.file.DataFileWriter.NonCopyingByteArrayOutputStream","yes","0","1","0","6","0","6","0","2","0","0","0","218","yes","2"
"release-1.3.1","/lang/java/src/java/org/apache/avro/Schema.java/","org.apache.avro.Schema.Type","yes","0","0","0","7","0","7","0","3","0","0","0","292","yes","2"
"release-1.3.1","/lang/java/src/java/org/apache/avro/Schema.java/","org.apache.avro.Schema.NullSchema","yes","0","0","0","7","0","7","0","3","0","0","0","292","yes","2"
"release-1.3.1","/lang/java/src/java/org/apache/avro/ipc/Requestor.java/","org.apache.avro.ipc.Requestor","yes","0","3","0","3","0","3","0","1","0","0","0","13","yes","2"
"release-1.3.1","/lang/java/src/java/org/apache/avro/Schema.java/","org.apache.avro.Schema.UnionSchema","yes","5","6","0","7","0","7","0","3","0","0","0","292","yes","2"
"release-1.3.0","/lang/java/src/java/org/apache/avro/io/ResolvingDecoder.java/","org.apache.avro.io.ResolvingDecoder","yes","0","3","0","11","0","11","0","2","0","0","0","185","yes","3"
"release-1.3.0","/lang/java/src/java/org/apache/avro/file/DeflateCodec.java/","org.apache.avro.file.DeflateCodec.Option","yes","0","0","0","5","0","5","0","2","0","0","0","223","yes","3"
"release-1.3.0","/lang/java/src/java/org/apache/avro/Schema.java/","org.apache.avro.Schema.FixedSchema","yes","4","5","0","7","0","7","0","3","0","0","0","292","yes","3"
"release-1.3.0","/lang/java/src/java/org/apache/avro/Schema.java/","org.apache.avro.Schema.RecordSchema","yes","6","8","0","7","0","7","0","3","0","0","0","292","yes","3"
"release-1.3.0","/lang/java/src/java/org/apache/avro/Schema.java/","org.apache.avro.Schema.MapSchema","yes","4","5","0","7","0","7","0","3","0","0","0","292","yes","3"
"release-1.3.0","/lang/java/src/java/org/apache/avro/reflect/ReflectData.java/","org.apache.avro.reflect.ReflectData","yes","4","7","0","5","0","5","0","2","0","0","0","67","yes","3"
"release-1.3.0","/lang/java/src/java/org/apache/avro/Schema.java/","org.apache.avro.Schema.DoubleSchema","yes","0","0","0","7","0","7","0","3","0","0","0","292","yes","3"
"release-1.3.0","/lang/java/src/java/org/apache/avro/Schema.java/","org.apache.avro.Schema.LongSchema","yes","0","0","0","7","0","7","0","3","0","0","0","292","yes","3"
"release-1.3.0","/lang/java/src/java/org/apache/avro/Schema.java/","org.apache.avro.Schema.SeenPair","yes","2","4","0","7","0","7","0","3","0","0","0","292","yes","3"
"release-1.3.0","/lang/java/src/java/org/apache/avro/tool/JsonToBinaryFragmentTool.java/","org.apache.avro.tool.JsonToBinaryFragmentTool","yes","2","4","0","1","0","1","0","1","0","0","0","0","yes","3"
"release-1.3.0","/lang/java/src/java/org/apache/avro/file/DeflateCodec.java/","org.apache.avro.file.DeflateCodec","yes","0","1","0","5","0","5","0","2","0","0","0","223","yes","3"
"release-1.3.0","/lang/java/src/java/org/apache/avro/Schema.java/","org.apache.avro.Schema.Field.Order","yes","0","0","0","7","0","7","0","3","0","0","0","292","yes","3"
"release-1.3.0","/lang/java/src/java/org/apache/avro/Schema.java/","org.apache.avro.Schema.BooleanSchema","yes","0","0","0","7","0","7","0","3","0","0","0","292","yes","3"
"release-1.3.0","/lang/java/src/java/org/apache/avro/Schema.java/","org.apache.avro.Schema.LockableArrayList","yes","8","8","0","7","0","7","0","3","0","0","0","292","yes","3"
"release-1.3.0","/lang/java/src/java/org/apache/avro/file/DataFileWriter.java/","org.apache.avro.file.DataFileWriter.BufferedFileOutputStream.PositionFilter","yes","1","2","0","6","0","6","0","2","0","0","0","218","yes","3"
"release-1.3.0","/lang/java/src/java/org/apache/avro/Schema.java/","org.apache.avro.Schema.NamedSchema","yes","7","9","0","7","0","7","0","3","0","0","0","292","yes","3"
"release-1.3.0","/lang/java/src/java/org/apache/avro/specific/SpecificCompiler.java/","org.apache.avro.specific.SpecificCompiler.OutputFile","yes","1","2","0","4","0","4","0","2","0","0","0","33","yes","3"
"release-1.3.0","/lang/java/src/java/org/apache/avro/file/DataFileReader.java/","org.apache.avro.file.DataFileReader","yes","1","2","0","3","0","3","0","1","0","0","0","126","yes","3"
"release-1.3.0","/lang/java/src/java/org/apache/avro/ipc/Responder.java/","org.apache.avro.ipc.Responder","yes","0","3","0","3","0","3","0","1","0","0","0","24","yes","3"
"release-1.3.0","/lang/java/src/java/org/apache/avro/specific/SpecificCompiler.java/","org.apache.avro.specific.SpecificCompiler","yes","4","7","0","4","0","4","0","2","0","0","0","33","yes","3"
"release-1.3.0","/lang/java/src/java/org/apache/avro/Schema.java/","org.apache.avro.Schema.BytesSchema","yes","0","0","0","7","0","7","0","3","0","0","0","292","yes","3"
"release-1.3.0","/lang/java/src/java/org/apache/avro/reflect/ReflectData.java/","org.apache.avro.reflect.ReflectData.AllowNull","yes","2","3","0","5","0","5","0","2","0","0","0","67","yes","3"
