Project,Path,Class,ReleaseId,LOC,StmtCount,Cyclomatic,Cognitive,DistinctOperators,DistinctOperands,TotalOperators,TotalOperands,Vocabulary,Length,Volume,Difficulty,Effort,MaxNestingDepth,isLongMethod,isGodClass,isFeatureEnvy,isDuplicatedCode,CodeSmells,NSmells,SmellDensity,Touches,TotalTouches,IssueTouches,TotalIssueTouches,Authors,TotalAuthors,AddedLines,DeletedLines,Churn,TotalChurn,prevCodeSmells,AgeInReleases,prevBuggy,Buggy
avro,/lang/java/src/java/org/apache/avro/ipc/Transceiver.java/,"org.apache.avro.ipc.Transceiver",release-1.3.2,17,4,5,0,0,3,0,3,3.0,3.0,4.754887502163469,0.0,0.0,0,0,0,0,0,1,1,0.0588,1,1,1,1,1,1,0,0,0,0,0,1,no,no
avro,/lang/java/src/java/org/apache/avro/file/CodecFactory.java/,"org.apache.avro.file.CodecFactory",release-1.3.2,50,18,8,1,2,21,2,25,23.0,27.0,122.13617281353935,1.1904761904761905,145.400205730404,1,0,0,1,0,0,1,0.0200,2,2,2,2,2,2,76,0,76,76,0,1,no,no
avro,/lang/java/src/java/org/apache/avro/reflect/ReflectDatumWriter.java/,"org.apache.avro.reflect.ReflectDatumWriter",release-1.3.2,91,50,17,4,5,37,8,78,42.0,86.0,463.73929835897343,5.27027027027027,2444.0314372972925,1,0,0,1,0,5,6,0.0659,1,1,1,1,1,1,0,0,0,0,0,1,no,no
avro,/lang/java/src/java/org/apache/avro/reflect/Nullable.java/,"org.apache.avro.reflect.Nullable",release-1.3.2,4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,1,1,1,1,1,1,33,0,33,33,0,1,no,no
avro,/lang/java/src/java/org/apache/avro/file/DataFileReader.java/,"org.apache.avro.file.DataFileReader",release-1.3.2,137,38,10,4,10,27,26,65,37.0,91.0,474.0602562722345,12.037037037037038,5706.280862536157,3,0,0,1,0,1,2,0.0146,3,3,3,3,1,1,73,53,126,126,0,1,no,no
avro,/lang/java/src/java/org/apache/avro/ipc/Responder.java/,"org.apache.avro.ipc.Responder",release-1.3.2,159,84,18,7,5,76,29,198,81.0,227.0,1439.14595065481,6.513157894736842,9373.384810185933,1,1,1,1,0,0,3,0.0189,3,3,3,3,1,1,10,14,24,24,0,1,no,no
avro,/lang/java/src/java/org/apache/avro/generic/GenericArray.java/,"org.apache.avro.generic.GenericArray",release-1.3.2,15,0,4,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,1,1,1,1,1,1,0,0,0,0,0,1,no,no
avro,/lang/java/src/java/org/apache/avro/specific/SpecificCompiler.java/,"org.apache.avro.specific.SpecificCompiler",release-1.3.2,380,204,85,15,8,218,75,613,226.0,688.0,5380.2831261416495,11.247706422018348,60515.84507018039,2,1,1,1,0,4,7,0.0184,4,4,4,4,2,2,16,17,33,33,0,1,no,no
avro,/lang/java/src/java/org/apache/avro/ipc/DatagramTransceiver.java/,"org.apache.avro.ipc.DatagramTransceiver",release-1.3.2,53,33,7,2,4,35,8,67,39.0,75.0,396.40516641466866,3.8285714285714287,1517.665494273303,2,0,0,1,0,2,3,0.0566,2,2,2,2,1,1,2,1,3,3,0,1,no,no
avro,/lang/java/src/java/org/apache/avro/Schema.java/,"org.apache.avro.Schema.BytesSchema",release-1.3.2,3,2,1,0,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,7,7,7,7,3,3,233,59,292,292,0,1,no,yes
avro,/lang/java/src/java/org/apache/avro/io/BinaryEncoder.java/,"org.apache.avro.io.BinaryEncoder.ReuseByteWriter",release-1.3.2,12,5,2,0,1,5,1,8,6.0,9.0,23.264662506490403,0.8,18.611730005192324,0,0,0,1,0,0,1,0.0833,2,2,2,2,2,2,3,1,4,4,0,1,no,no
avro,/lang/java/src/java/org/apache/avro/generic/GenericData.java/,"org.apache.avro.generic.GenericData.Record",release-1.3.2,38,33,15,5,5,28,13,59,33.0,72.0,363.1963765938086,5.267857142857143,1913.2666266995277,1,0,0,1,0,0,1,0.0263,6,6,6,6,3,3,32,30,62,62,0,1,no,no
avro,/lang/java/src/java/org/apache/avro/specific/SpecificResponder.java/,"org.apache.avro.specific.SpecificResponder",release-1.3.2,67,37,9,0,2,34,6,67,36.0,73.0,377.40452510528877,1.9705882352941178,743.7089171192456,0,0,0,1,0,0,1,0.0149,3,3,3,3,2,2,7,13,20,20,0,1,no,no
avro,/lang/java/src/java/org/apache/avro/io/parsing/Symbol.java/,"org.apache.avro.io.parsing.Symbol.SkipAction",release-1.3.2,13,4,2,0,1,4,1,5,5.0,6.0,13.931568569324174,0.625,8.707230355827608,0,0,0,1,0,0,1,0.0769,10,10,10,10,2,2,217,49,266,266,0,1,no,no
avro,/lang/java/src/java/org/apache/avro/file/SeekableInput.java/,"org.apache.avro.file.SeekableInput",release-1.3.2,14,0,4,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,1,1,1,1,1,1,0,0,0,0,0,1,no,no
