Dataset,Classifier,Run,Fold,Accuracy,Precision,Recall,F1,Kappa,AUC,NPofB20
avro_dataset.csv,RANDOM_FOREST,5,1,99.3789,1.0000,0.8095,0.8947,0.8916,0.9024,0.8571
avro_dataset.csv,RANDOM_FOREST,5,6,99.5342,1.0000,0.8636,0.9268,0.9244,0.9986,1.0000
avro_dataset.csv,RANDOM_FOREST,5,7,99.5342,1.0000,0.8636,0.9268,0.9244,0.9841,1.0000
avro_dataset.csv,RANDOM_FOREST,5,5,99.8447,1.0000,0.9524,0.9756,0.9748,0.9982,1.0000
avro_dataset.csv,RANDOM_FOREST,5,2,99.6894,1.0000,0.9048,0.9500,0.9484,0.9843,1.0000
avro_dataset.csv,RANDOM_FOREST,5,8,99.6890,1.0000,0.9048,0.9500,0.9484,0.9646,0.9524
avro_dataset.csv,RANDOM_FOREST,5,3,99.8447,1.0000,0.9524,0.9756,0.9748,0.9894,1.0000
avro_dataset.csv,RANDOM_FOREST,5,4,99.5342,1.0000,0.8571,0.9231,0.9207,0.9735,0.9524
avro_dataset.csv,RANDOM_FOREST,5,9,99.6890,0.9524,0.9524,0.9524,0.9508,0.9992,1.0000
avro_dataset.csv,RANDOM_FOREST,6,0,99.5342,1.0000,0.8571,0.9231,0.9207,0.9674,0.9524
avro_dataset.csv,RANDOM_FOREST,6,1,99.8447,1.0000,0.9524,0.9756,0.9748,0.9837,1.0000
avro_dataset.csv,RANDOM_FOREST,6,4,99.0683,1.0000,0.7143,0.8333,0.8287,0.9244,0.9048
avro_dataset.csv,RANDOM_FOREST,6,2,99.5342,1.0000,0.8571,0.9231,0.9207,0.9721,0.9524
avro_dataset.csv,RANDOM_FOREST,6,8,99.2224,1.0000,0.7619,0.8649,0.8609,0.9024,0.9048
avro_dataset.csv,RANDOM_FOREST,6,9,99.3779,1.0000,0.8095,0.8947,0.8916,0.9114,0.9048
avro_dataset.csv,RANDOM_FOREST,6,6,99.6894,1.0000,0.9091,0.9524,0.9508,0.9680,0.9545
avro_dataset.csv,RANDOM_FOREST,6,5,99.8447,1.0000,0.9524,0.9756,0.9748,1.0000,1.0000
avro_dataset.csv,RANDOM_FOREST,6,3,99.6894,1.0000,0.9048,0.9500,0.9484,0.9592,0.9524
avro_dataset.csv,RANDOM_FOREST,6,7,100.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
avro_dataset.csv,RANDOM_FOREST,7,0,99.3789,1.0000,0.8095,0.8947,0.8916,0.9281,0.9048
avro_dataset.csv,RANDOM_FOREST,7,2,99.6894,1.0000,0.9048,0.9500,0.9484,0.9996,1.0000
avro_dataset.csv,RANDOM_FOREST,7,1,99.8447,1.0000,0.9524,0.9756,0.9748,0.9997,1.0000
avro_dataset.csv,RANDOM_FOREST,7,4,100.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
avro_dataset.csv,RANDOM_FOREST,7,3,99.8447,1.0000,0.9524,0.9756,0.9748,0.9968,1.0000
avro_dataset.csv,RANDOM_FOREST,7,6,99.0683,1.0000,0.7273,0.8421,0.8374,0.9363,0.8636
avro_dataset.csv,RANDOM_FOREST,7,9,99.8445,1.0000,0.9524,0.9756,0.9748,0.9747,0.9524
avro_dataset.csv,RANDOM_FOREST,7,5,99.3789,1.0000,0.8095,0.8947,0.8916,0.9611,1.0000
avro_dataset.csv,RANDOM_FOREST,7,8,99.0669,1.0000,0.7143,0.8333,0.8287,0.9827,0.9048
avro_dataset.csv,RANDOM_FOREST,8,2,98.9130,1.0000,0.6667,0.8000,0.7946,0.9698,0.8571
avro_dataset.csv,RANDOM_FOREST,8,0,99.5342,1.0000,0.8571,0.9231,0.9207,0.9835,1.0000
avro_dataset.csv,RANDOM_FOREST,8,1,99.5342,1.0000,0.8571,0.9231,0.9207,0.9488,0.9524
avro_dataset.csv,RANDOM_FOREST,7,7,99.5342,1.0000,0.8636,0.9268,0.9244,0.9820,1.0000
avro_dataset.csv,RANDOM_FOREST,8,3,99.8447,1.0000,0.9524,0.9756,0.9748,0.9618,0.9524
avro_dataset.csv,RANDOM_FOREST,8,4,99.8447,1.0000,0.9524,0.9756,0.9748,0.9792,0.9524
avro_dataset.csv,RANDOM_FOREST,8,6,99.8447,1.0000,0.9545,0.9767,0.9759,0.9977,1.0000
avro_dataset.csv,RANDOM_FOREST,8,7,99.3789,0.9500,0.8636,0.9048,0.9016,0.9634,0.9545
avro_dataset.csv,RANDOM_FOREST,8,5,99.6894,1.0000,0.9048,0.9500,0.9484,0.9936,1.0000
avro_dataset.csv,RANDOM_FOREST,8,9,99.6890,1.0000,0.9048,0.9500,0.9484,0.9814,1.0000
avro_dataset.csv,RANDOM_FOREST,8,8,99.6890,1.0000,0.9048,0.9500,0.9484,0.9971,1.0000
avro_dataset.csv,RANDOM_FOREST,9,0,99.6894,1.0000,0.9048,0.9500,0.9484,0.9886,1.0000
avro_dataset.csv,RANDOM_FOREST,9,2,99.3789,0.9474,0.8571,0.9000,0.8968,0.9362,0.8571
avro_dataset.csv,RANDOM_FOREST,9,4,99.5342,1.0000,0.8571,0.9231,0.9207,0.9502,0.9524
avro_dataset.csv,RANDOM_FOREST,9,3,99.5342,1.0000,0.8571,0.9231,0.9207,0.9664,1.0000
avro_dataset.csv,RANDOM_FOREST,9,1,99.6894,1.0000,0.9048,0.9500,0.9484,0.9608,0.9524
avro_dataset.csv,RANDOM_FOREST,9,5,99.5342,1.0000,0.8571,0.9231,0.9207,0.9989,1.0000
